County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Lampasas,7,800,"1,665","1,324",341,"17,366","4,322",348,284,"6,457",,,
Lavaca,8,"2,300","2,795","1,753","1,042","16,004","4,775",820,612,"5,435",,,
Lee,7,800,"1,394","1,018",376,"13,993","3,219",334,226,"5,333",,,
Leon,7,900,"1,038",730,308,"13,946","4,334",155,74,"4,662",,,
Liberty,6/5S,"9,175","5,235","3,656","1,579","66,868","11,399","1,398",614,"28,567",,,
Limestone,7,"1,700","1,699","1,226",473,"18,871","4,670","2,332","1,060","7,512",,,
Lipscomb,1,200,528,390,138,"2,520",617,24,61,919,,,
Live Oak,11,400,"1,483","1,149",334,"10,055","2,533",35,100,"3,769",,,
Llano,7,"1,200","2,536","2,099",437,"18,908","8,119",277,358,"5,362",,,
Loving,9/10,0,27,27,0,129,23,0,0,50,,,
Lubbock,1,"95,200","68,298","48,804","19,494","244,992","39,476","20,974","4,093","83,028",,,
Lynn,1,400,948,623,325,"4,496",974,191,40,"1,838",,,
Madison,7,900,793,564,229,"11,595","2,264",299,258,"4,451",,,
Marion,4/5N,0,477,339,138,"8,277","2,697",351,158,"3,058",,,
Martin,9/10,800,"1,163",886,277,"4,136",659,165,0,"1,624",,,
Mason,9/10,400,731,596,135,"3,521","1,250",104,0,"1,147",,,
Matagorda,6/5S,"2,900","2,744","1,911",833,"28,247","6,391","1,113",369,"11,409",,,
Maverick,8,"9,100","4,898","3,893","1,005","42,606","7,003","2,970","1,198","18,727",,,
McCulloch,9/10,"1,200",828,713,115,"6,435","1,792",212,122,"2,275",,,
McLennan,7,"34,950","28,768","21,942","6,826","200,781","37,728","11,153","3,621","71,906",,,
McMullen,11,100,110,101,9,616,189,10,0,202,,,
Medina,8,"2,600","5,687","4,138","1,549","41,263","8,757",899,536,"16,090",,,
Menard,9/10,200,481,406,75,"1,790",699,9,40,550,,,
Midland,9/10,"32,275","25,016","21,193","3,823","131,025","18,438","5,950","1,288","49,538",,,
Milam,7,"2,700","2,913","1,811","1,102","19,689","5,245",532,297,"7,641",,,
Mills,7,300,791,543,248,"4,006","1,416",149,152,"1,305",,,
Mitchell,2/3,"1,000",935,662,273,"6,958","1,259",265,96,"2,753",,,
Montague,2/3,"2,350","2,642","2,219",423,"15,872","4,444",560,383,"5,668",,,
Montgomery,6/5S,"74,300","57,665","40,783","16,882","467,232","81,457","20,255","3,836","157,396",,,
Moore,1,"1,500","4,476","3,557",919,"14,986","2,372",448,176,"6,143",,,
Morris,4/5N,500,837,552,285,"9,830","2,730",77,179,"3,692",,,
Motley,1,0,194,149,45,994,368,22,50,319,,,
Nacogdoches,4/5N,"8,700","9,777","6,230","3,547","51,773","9,953","2,530",755,"19,948",,,
Navarro,2/3,"7,100","6,960","6,005",955,"38,360","8,651","1,720",869,"15,775",,,
Newton,4/5N,900,"1,312","1,124",188,"11,298","2,878",55,113,"4,648",,,
Nolan,2/3,"2,200","2,338","1,668",670,"11,321","2,737",519,251,"4,249",,,
Nueces,11,"74,275","40,272","26,991","13,281","284,366","54,069","25,582","4,100","113,767",,,
Ochiltree,1,"1,300","1,171",794,377,"7,106","1,148",200,114,"2,812",,,
Oldham,1,300,396,251,145,"1,728",316,18,0,654,,,
Orange,6/5S,"1,600","5,197","4,333",864,"65,087","13,729","1,456",548,"26,244",,,
Palo Pinto,2/3,"1,800","2,065","1,494",571,"23,207","5,893",864,283,"8,796",,,
Panola,4/5N,"1,600","1,683","1,236",447,"18,462","4,589",473,377,"7,117",,,
Parker,2/3,"15,350","15,853","11,620","4,233","111,686","22,331","2,890","1,301","40,567",,,
Parmer,1,800,"1,782","1,310",472,"7,222","1,366",161,174,"2,910",,,
Pecos,9/10,"2,000","2,871","2,360",511,"12,317","2,141",400,120,"5,047",,,
Polk,4/5N,"4,300","4,827","3,605","1,222","42,276","9,733","1,184",574,"17,118",,,
Potter,1,"84,125","25,798","16,806","8,992","88,673","15,203","10,224","1,770","35,559",,,
Presidio,9/10,800,"1,308","1,109",199,"5,069","1,601",27,0,"2,039",,,
Rains,4/5N,300,805,598,207,"10,277","3,123",163,68,"3,649",,,
Randall,1,"6,100","38,922","24,775","14,147","108,431","21,424","2,812",869,"34,803",,,
Reagan,9/10,300,454,343,111,"2,841",427,52,42,"1,173",,,
Real,8,200,755,563,192,"2,943","1,053",25,86,"1,051",,,
Red River,4/5N,800,"1,480","1,234",246,"9,965","3,044",420,252,"3,717",,,
Reeves,9/10,"5,775","4,117","2,995","1,122","12,781","1,878",281,89,"5,277",,,
Refugio,11,700,"1,329",923,406,"5,583","1,617",228,154,"2,031",,,
Roberts,1,0,142,95,47,672,193,16,0,227,,,
Robertson,7,"1,000","1,507","1,194",313,"13,474","3,412",252,252,"4,991",,,
Rockwall,2/3,"6,775","13,565","10,120","3,445","80,325","13,395","3,750","1,347","27,575",,,
Runnels,2/3,"1,500","1,708","1,113",595,"8,184","2,153",405,312,"2,979",,,
Rusk,4/5N,"2,000","2,941","2,194",747,"43,777","9,197","1,501",759,"17,428",,,
Sabine,4/5N,"1,400","1,570","1,154",416,"8,871","3,267",572,186,"3,077",,,
San Augustine,4/5N,"1,200",835,600,235,"6,811","2,227",415,337,"2,590",,,
San Jacinto,4/5N,"1,600","2,162","1,580",582,"23,444","6,488",132,190,"9,275",,,
San Patricio,11,"3,200","6,746","5,180","1,566","51,116","10,209",975,347,"19,063",,,
San Saba,7,300,256,193,63,"5,000","1,465",33,72,"1,828",,,
Schleicher,9/10,400,286,189,97,"2,218",559,65,34,793,,,
Scurry,2/3,"3,925","1,635","1,200",435,"13,000","2,566",399,128,"5,165",,,
Shackelford,2/3,300,330,278,52,"2,612",691,52,0,937,,,
Shelby,4/5N,"1,700","1,526","1,001",525,"19,449","4,532",540,369,"7,876",,,
Sherman,1,500,492,412,80,"2,294",462,24,42,868,,,
Smith,4/5N,"63,600","29,948","22,295","7,653","182,283","39,337","19,690","3,030","62,467",,,
Somervell,2/3,600,"1,223",973,250,"7,386","1,770",457,220,"2,741",,,
Starr,11,"6,400","7,115","5,251","1,864","45,765","7,370","4,479","1,999","21,117",,,
Stephens,2/3,900,595,452,143,"7,542","1,890",168,92,"2,928",,,
Sterling,9/10,100,129,103,26,975,186,10,44,375,,,
Stonewall,2/3,500,283,236,47,"1,095",361,63,53,369,,,
Sutton,9/10,400,447,353,94,"2,992",723,91,0,"1,051",,,
Swisher,1,500,"1,214",904,310,"5,764","1,305",114,61,"2,381",,,
Tarrant,2/3,"395,350","220,625","152,808","67,817","1,617,160","244,511","86,106","18,386","590,239",,,
Taylor,2/3,"22,375","22,499","16,830","5,669","107,257","20,131","11,065","2,465","36,680",,,
Terrell,9/10,0,216,197,19,639,255,10,0,207,,,
Terry,1,"3,450","2,588","1,923",665,"9,307","1,858",345,178,"3,985",,,
Throckmorton,2/3,500,430,359,71,"1,247",445,64,0,399,,,
Titus,4/5N,"4,300","2,188","1,450",738,"24,323","4,845","1,811",633,"9,797",,,
Tom Green,9/10,"24,000","21,245","14,436","6,809","93,752","18,625","6,702","1,601","33,131",,,
Travis,7,"217,400","139,961","100,680","39,281","1,032,386","129,553","51,820","8,264","311,477",,,
Trinity,4/5N,"2,750","1,913","1,470",443,"12,104","3,956",347,241,"4,400",,,
Tyler,4/5N,"2,800","2,743","1,962",781,"17,963","4,895",476,238,"6,926",,,
Upshur,4/5N,"1,400","2,684","2,025",659,"33,011","7,825",714,567,"12,366",,,
Upton,9/10,400,748,596,152,"2,730",537,170,30,"1,105",,,
Uvalde,8,"7,175","5,451","3,808","1,643","20,379","4,508","1,498",515,"8,253",,,
Val Verde,8,"5,150","5,438","4,271","1,167","36,546","7,003","2,610",490,"14,417",,,
Van Zandt,4/5N,"2,900","4,751","3,481","1,270","45,216","11,495","1,280",711,"16,861",,,
Victoria,8,"13,475","13,688","10,105","3,583","71,388","15,242","5,624","1,030","27,119",,,
Walker,6/5S,"5,600","5,170","3,785","1,385","63,471","10,049","1,526",400,"24,628",,,
Waller,6/5S,"3,300","3,418","2,593",825,"43,350","6,546","1,182",466,"16,819",,,
Ward,9/10,600,"1,273",992,281,"8,921","1,629",137,92,"3,551",,,
Washington,7,"14,000","5,155","4,187",968,"29,086","7,889","2,581","1,018","10,662",,,
Webb,11,"46,900","37,730","27,999","9,731","196,916","26,921","12,073","1,646","88,397",,,
Wharton,6/5S,"2,800","3,289","2,368",921,"32,110","7,239","1,438",615,"12,933",,,
Wheeler,1,900,976,659,317,"3,915","1,002",200,114,"1,459",,,
Wichita,2/3,"28,000","23,149","16,105","7,044","105,631","19,854","8,664","2,030","42,031",,,
Wilbarger,2/3,"5,700","3,493","2,387","1,106","10,361","2,421",457,304,"4,240",,,
